Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,Afghanistan,33.93911,67.709953,45716,1737,36232,7747,Afghanistan
,Albania,41.1533,20.1683,35600,753,17352,17495,Albania
,Algeria,28.0339,1.6596,79110,2352,51334,25424,Algeria
,Andorra,42.5063,1.5218,6534,76,5649,809,Andorra
,Angola,-11.2027,17.8739,14920,341,7617,6962,Angola
,Antigua and Barbuda,17.0608,-61.7964,141,4,130,7,Antigua and Barbuda
,Argentina,-38.4161,-63.6167,1399431,37941,1226662,134828,Argentina
,Armenia,40.0691,45.0382,130870,2068,103055,25747,Armenia
Australian Capital Territory,Australia,-35.4735,149.0124,116,3,112,1,"Australian Capital Territory, Australia"
New South Wales,Australia,-33.8688,151.2093,4556,53,3180,1323,"New South Wales, Australia"
Northern Territory,Australia,-12.4634,130.8456,52,0,46,6,"Northern Territory, Australia"
Queensland,Australia,-27.4698,153.0251,1198,6,1178,14,"Queensland, Australia"
South Australia,Australia,-34.9285,138.6007,559,4,533,22,"South Australia, Australia"
Tasmania,Australia,-42.8821,147.3272,230,13,217,0,"Tasmania, Australia"
Victoria,Australia,-37.8136,144.9631,20345,819,19526,0,"Victoria, Australia"
Western Australia,Australia,-31.9505,115.8605,817,9,778,30,"Western Australia, Australia"
,Austria,47.5162,14.5501,266038,2773,196342,66923,Austria
,Azerbaijan,40.1431,47.5769,106101,1256,68572,36273,Azerbaijan
,Bahamas,25.025885,-78.035889,7482,163,5789,1530,Bahamas
,Bahrain,26.0275,50.55,86347,341,84510,1496,Bahrain
,Bangladesh,23.685,90.3563,456438,6524,371453,78461,Bangladesh
,Barbados,13.1939,-59.5432,266,7,246,13,Barbados
,Belarus,53.7098,27.9534,130012,1128,108769,20115,Belarus
Antwerp,Belgium,51.2195,4.4024,66488,0,0,66488,"Antwerp, Belgium"
Brussels,Belgium,50.8503,4.3517,75755,0,0,75755,"Brussels, Belgium"
East Flanders,Belgium,51.0362,3.7373,52849,0,0,52849,"East Flanders, Belgium"
Flemish Brabant,Belgium,50.9167,4.5833,43337,0,0,43337,"Flemish Brabant, Belgium"
Hainaut,Belgium,50.5257,4.0621,90813,0,0,90813,"Hainaut, Belgium"
Liege,Belgium,50.4496,5.8492,90962,0,0,90962,"Liege, Belgium"
Limburg,Belgium,50.9739,5.342,23767,0,0,23767,"Limburg, Belgium"
Luxembourg,Belgium,50.0547,5.4677,15953,0,0,15953,"Luxembourg, Belgium"
Namur,Belgium,50.331,4.8221,31933,0,0,31933,"Namur, Belgium"
Unknown,Belgium,,,9375,16219,0,-6844,"Unknown, Belgium"
Walloon Brabant,Belgium,50.4,4.35,22914,0,0,22914,"Walloon Brabant, Belgium"
West Flanders,Belgium,51.0536,3.1458,43386,0,0,43386,"West Flanders, Belgium"
,Belize,17.1899,-88.4976,5515,131,3021,2363,Belize
,Benin,9.3077,2.3158,2974,43,2579,352,Benin
,Bhutan,27.5142,90.4336,389,0,368,21,Bhutan
,Bolivia,-16.2902,-63.5887,144390,8939,120720,14731,Bolivia
,Bosnia and Herzegovina,43.9159,17.6791,84252,2480,48780,32992,Bosnia and Herzegovina
,Botswana,-22.3285,24.6849,10258,31,7717,2510,Botswana
Acre,Brazil,-9.0238,-70.812,35304,722,30179,4403,"Acre, Brazil"
Alagoas,Brazil,-9.5713,-36.782,94060,2329,90650,1081,"Alagoas, Brazil"
Amapa,Brazil,0.902,-52.003,58043,802,46549,10692,"Amapa, Brazil"
Amazonas,Brazil,-3.4168,-65.8561,176214,4856,150866,20492,"Amazonas, Brazil"
Bahia,Brazil,-12.5797,-41.7007,392381,8185,375458,8738,"Bahia, Brazil"
Ceara,Brazil,-5.4984,-39.3206,297152,9545,248685,38922,"Ceara, Brazil"
Distrito Federal,Brazil,-15.7998,-47.8645,226697,3910,216780,6007,"Distrito Federal, Brazil"
Espirito Santo,Brazil,-19.1834,-40.3089,184633,4206,170664,9763,"Espirito Santo, Brazil"
Goias,Brazil,-15.827,-49.8362,276943,6305,266908,3730,"Goias, Brazil"
Maranhao,Brazil,-4.9609,-45.2744,192501,4263,185186,3052,"Maranhao, Brazil"
Mato Grosso,Brazil,-12.6819,-56.9211,156712,4060,147402,5250,"Mato Grosso, Brazil"
Mato Grosso do Sul,Brazil,-20.7722,-54.7852,95193,1748,84587,8858,"Mato Grosso do Sul, Brazil"
Minas Gerais,Brazil,-18.5122,-44.555,406880,9904,373326,23650,"Minas Gerais, Brazil"
Para,Brazil,-1.9981,-54.9306,268524,6884,251449,10191,"Para, Brazil"
Paraiba,Brazil,-7.24,-36.782,144378,3276,114202,26900,"Paraiba, Brazil"
Parana,Brazil,-25.2521,-52.0215,269258,6043,193261,69954,"Parana, Brazil"
Pernambuco,Brazil,-8.8137,-36.9541,178639,8987,158260,11392,"Pernambuco, Brazil"
Piaui,Brazil,-7.7183,-42.7289,124494,2603,122101,-210,"Piaui, Brazil"
Rio Grande do Norte,Brazil,-5.4026,-36.9541,88767,2666,47431,38670,"Rio Grande do Norte, Brazil"
Rio Grande do Sul,Brazil,-30.0346,-51.2177,308647,6686,284992,16969,"Rio Grande do Sul, Brazil"
Rio de Janeiro,Brazil,-22.9068,-43.1729,346024,22394,317198,6432,"Rio de Janeiro, Brazil"
Rondonia,Brazil,-11.5057,-63.5806,78788,1535,69693,7560,"Rondonia, Brazil"
Roraima,Brazil,-2.7376,-62.0751,62603,723,58796,3084,"Roraima, Brazil"
Santa Catarina,Brazil,-27.2423,-50.2189,343007,3608,312509,26890,"Santa Catarina, Brazil"
Sao Paulo,Brazil,-23.5505,-46.6333,1229267,41773,1084660,102834,"Sao Paulo, Brazil"
Sergipe,Brazil,-10.5741,-37.3857,88661,2292,82246,4123,"Sergipe, Brazil"
Tocantins,Brazil,-10.1753,-48.2982,80450,1155,72849,6446,"Tocantins, Brazil"
,Brunei,4.5353,114.7277,150,3,145,2,Brunei
,Bulgaria,42.7339,25.4858,136628,3529,44875,88224,Bulgaria
,Burkina Faso,12.2383,-1.5616,2777,68,2567,142,Burkina Faso
,Burma,21.9162,95.956,85205,1846,64645,18714,Burma
,Burundi,-3.3731,29.9189,677,1,575,101,Burundi
,Cabo Verde,16.5388,-23.0418,10570,105,9956,509,Cabo Verde
,Cambodia,11.55,104.9167,307,0,298,9,Cambodia
,Cameroon,3.848,11.5021,24022,437,22177,1408,Cameroon
Alberta,Canada,53.9333,-116.5765,51878,510,37316,14052,"Alberta, Canada"
British Columbia,Canada,53.7267,-127.6476,29973,384,19998,9591,"British Columbia, Canada"
Diamond Princess,Canada,,,0,1,0,,"Diamond Princess, Canada"
Grand Princess,Canada,,,13,0,13,0,"Grand Princess, Canada"
Manitoba,Canada,53.7609,-98.8139,15288,266,6177,8845,"Manitoba, Canada"
New Brunswick,Canada,46.5653,-66.4619,465,7,353,105,"New Brunswick, Canada"
Newfoundland and Labrador,Canada,53.1355,-57.6604,327,4,295,28,"Newfoundland and Labrador, Canada"
Northwest Territories,Canada,64.8255,-124.8457,15,0,15,0,"Northwest Territories,Canada"
Nova Scotia,Canada,44.682,-63.7443,1257,65,1078,114,"Nova Scotia, Canada"
Nunavut,Canada,70.2998,-83.1076,155,0,5,150,"Nunavut, Canada"
Ontario,Canada,51.2538,-85.3232,112898,3593,97645,11660,"Ontario, Canada"
Prince Edward Island,Canada,46.5107,-63.4168,70,0,68,2,"Prince Edward Island, Canada"
Quebec,Canada,52.9399,-73.5491,136894,6947,118491,11456,"Quebec, Canada"
Repatriated Travellers,Canada,,,13,0,13,0,"Repatriated Travellers, Canada"
Saskatchewan,Canada,52.9399,-106.4509,7362,40,4176,3146,"Saskatchewan, Canada"
Yukon,Canada,64.2823,-135,42,1,29,12,"Yukon, Canada"
,Central African Republic,6.6111,20.9394,4913,63,1924,2926,Central African Republic
,Chad,15.4542,18.7322,1661,101,1496,64,Chad
Antofagasta,Chile,-23.6509,-70.3975,22088,559,21348,181,"Antofagasta, Chile"
Araucania,Chile,-38.9489,-72.3311,16882,216,15783,883,"Araucania, Chile"
Arica y Parinacota,Chile,-18.594,-69.4785,10176,200,9847,129,"Arica y Parinacota, Chile"
Atacama,Chile,-27.5661,-70.0503,8100,103,7927,70,"Atacama, Chile"
Aysen,Chile,-45.9864,-73.7669,1236,13,1181,42,"Aysen, Chile"
Biobio,Chile,-37.4464,-72.1416,35472,594,33203,1675,"Biobio, Chile"
Coquimbo,Chile,-29.959,-71.3389,13016,265,12632,119,"Coquimbo, Chile"
Los Lagos,Chile,-41.9198,-72.1416,20013,186,18701,1126,"Los Lagos, Chile"
Los Rios,Chile,-40.231,-72.3311,5770,50,5122,598,"Los Rios, Chile"
Magallanes,Chile,-52.368,-70.9863,14105,183,13426,496,"Magallanes, Chile"
Maule,Chile,-35.5183,-71.6885,20768,485,19792,491,"Maule, Chile"
Metropolitana,Chile,-33.4376,-70.6505,303852,10278,291473,2101,"Metropolitana, Chile"
Nuble,Chile,-36.7226,-71.7622,8583,174,8083,326,"Nuble, Chile"
OHiggins,Chile,-34.5755,-71.0022,19699,535,18909,255,"OHiggins, Chile"
Tarapaca,Chile,-19.9232,-69.5132,13746,253,13262,231,"Tarapaca, Chile"
Unknown,Chile,,,46,1,46,,"Unknown, Chile"
Valparaiso,Chile,-33.0472,-71.6127,32110,1140,30512,458,"Valparaiso, Chile"
Anhui,China,31.8257,117.2264,992,6,985,1,"Anhui, China"
Beijing,China,40.1824,116.4142,950,9,937,4,"Beijing, China"
Chongqing,China,30.0572,107.874,590,6,583,1,"Chongqing, China"
Fujian,China,26.0789,117.9874,481,1,438,42,"Fujian, China"
Gansu,China,35.7518,104.2861,181,2,179,0,"Gansu, China"
Guangdong,China,23.3417,113.4244,1988,8,1943,37,"Guangdong, China"
Guangxi,China,23.8298,108.7881,263,2,258,3,"Guangxi, China"
Guizhou,China,26.8154,106.8748,147,2,145,0,"Guizhou, China"
Hainan,China,19.1959,109.7453,171,6,165,0,"Hainan, China"
Hebei,China,37.8957,114.9042,373,6,366,1,"Hebei, China"
Heilongjiang,China,47.862,127.7615,949,13,936,0,"Heilongjiang, China"
Henan,China,33.882,113.614,1289,22,1261,6,"Henan, China"
Hong Kong,China,22.3,114.2,5947,108,5300,539,"Hong Kong, China"
Hubei,China,30.9756,112.2707,68148,4512,63629,7,"Hubei, China"
Hunan,China,27.6104,111.7088,1020,4,1016,0,"Hunan, China"
Inner Mongolia,China,44.0935,113.9448,320,1,296,23,"Inner Mongolia, China"
Jiangsu,China,32.9711,119.455,680,0,672,8,"Jiangsu, China"
Jiangxi,China,27.614,115.7221,935,1,934,0,"Jiangxi, China"
Jilin,China,43.6661,126.1923,157,2,155,0,"Jilin, China"
Liaoning,China,41.2956,122.6085,289,2,286,1,"Liaoning, China"
Macau,China,22.1667,113.55,46,0,46,0,"Macau, China"
Ningxia,China,37.2692,106.1655,75,0,75,0,"Ningxia, China"
Qinghai,China,35.7452,95.9956,18,0,18,0,"Qinghai, China"
Shaanxi,China,35.1917,108.8701,497,3,455,39,"Shaanxi, China"
Shandong,China,36.3427,118.1498,849,7,841,1,"Shandong, China"
Shanghai,China,31.202,121.4491,1322,7,1253,62,"Shanghai, China"
Shanxi,China,37.5777,112.2922,220,0,217,3,"Shanxi, China"
Sichuan,China,30.6171,102.7103,801,3,759,39,"Sichuan, China"
Tianjin,China,39.3054,117.323,299,3,281,15,"Tianjin, China"
Tibet,China,31.6927,88.0924,1,0,1,0,"Tibet, China"
Xinjiang,China,41.1129,85.2401,980,3,977,0,"Xinjiang, China"
Yunnan,China,24.974,101.487,217,2,210,5,"Yunnan, China"
Zhejiang,China,29.1832,120.0934,1293,1,1283,9,"Zhejiang, China"
Amazonas,Colombia,-1.4429,-71.5724,3142,123,2999,20,"Amazonas, Colombia"
Antioquia,Colombia,7.1986,-75.3412,208147,3946,193808,10393,"Antioquia, Colombia"
Arauca,Colombia,7.0762,-70.7105,4038,117,3721,200,"Arauca, Colombia"
Atlantico,Colombia,10.6966,-74.8741,76924,3195,72342,1387,"Atlantico, Colombia"
Bolivar,Colombia,8.6704,-74.03,37017,900,35051,1066,"Bolivar, Colombia"
Boyaca,Colombia,5.4545,-73.362,20822,441,18727,1654,"Boyaca, Colombia"
Caldas,Colombia,5.2983,-75.2479,23620,460,20864,2296,"Caldas, Colombia"
Capital District,Colombia,4.711,-74.0721,367150,8421,341048,17681,"Capital District, Colombia"
Caqueta,Colombia,0.8699,-73.8419,13083,463,11889,731,"Caqueta, Colombia"
Casanare,Colombia,5.7589,-71.5724,6541,146,6038,357,"Casanare, Colombia"
Cauca,Colombia,2.705,-76.826,15534,432,14050,1052,"Cauca, Colombia"
Cesar,Colombia,9.3373,-73.6536,29160,889,26516,1755,"Cesar, Colombia"
Choco,Colombia,5.2528,-76.826,4462,166,4206,90,"Choco, Colombia"
Cordoba,Colombia,8.0493,-75.574,28049,1646,25396,1007,"Cordoba, Colombia"
Cundinamarca,Colombia,5.026,-74.03,50835,1393,46928,2514,"Cundinamarca, Colombia"
Guainia,Colombia,2.5854,-68.5247,1189,19,1163,7,"Guainia, Colombia"
Guaviare,Colombia,1.0654,-73.2603,1805,28,1737,40,"Guaviare, Colombia"
Huila,Colombia,2.5359,-75.5277,29222,927,27558,737,"Huila, Colombia"
La Guajira,Colombia,11.3548,-72.5205,11601,449,10632,520,"La Guajira, Colombia"
Magdalena,Colombia,10.4113,-74.4057,19578,963,17826,789,"Magdalena, Colombia"
Meta,Colombia,3.272,-73.0877,27585,618,25918,1049,"Meta, Colombia"
Narino,Colombia,1.2892,-77.3579,24980,841,22881,1258,"Narino, Colombia"
Norte de Santander,Colombia,7.9463,-72.8988,27454,1329,24659,1466,"Norte de Santander, Colombia"
Putumayo,Colombia,0.436,-75.5277,4861,223,4418,220,"Putumayo, Colombia"
Quindio,Colombia,4.461,-75.6674,16142,424,14576,1142,"Quindio, Colombia"
Risaralda,Colombia,5.3158,-75.9928,22484,543,20442,1499,"Risaralda, Colombia"
San Andres y Providencia,Colombia,12.5567,-81.7185,2084,33,1988,63,"San Andres y Providencia, Colombia"
Santander,Colombia,6.6437,-73.6536,51502,1976,46279,3247,"Santander, Colombia"
Sucre,Colombia,8.814,-74.7233,16405,642,15331,432,"Sucre, Colombia"
Tolima,Colombia,4.0925,-75.1545,27815,851,25688,1276,"Tolima, Colombia"
Unknown,Colombia,,,0,0,0,0,"Unknown, Colombia"
Valle del Cauca,Colombia,3.8009,-76.6413,105253,3392,95110,6751,"Valle del Cauca, Colombia"
Vaupes,Colombia,0.8554,-70.812,1119,12,1098,9,"Vaupes, Colombia"
Vichada,Colombia,4.4234,-69.2878,884,11,866,7,"Vichada, Colombia"
,Comoros,-11.6455,43.3333,610,7,585,18,Comoros
,Congo (Brazzaville),-0.228,15.8277,5632,93,4988,551,Congo (Brazzaville)
,Congo (Kinshasa),-4.0383,21.7587,12470,333,11495,642,Congo (Kinshasa)
,Costa Rica,9.7489,-83.7534,135742,1679,83273,50790,Costa Rica
,Cote d'Ivoire,7.54,-5.5471,21199,131,20852,216,Cote d'Ivoire
,Croatia,45.1,15.2,115626,1552,92349,21725,Croatia
,Cuba,21.521757,-77.781167,8075,133,7497,445,Cuba
,Cyprus,35.1264,33.4299,9673,48,2055,7570,Cyprus
,Czechia,49.8175,15.473,511520,7779,431874,71867,Czechia
Faroe Islands,Denmark,61.8926,-6.9118,500,0,498,2,"Faroe Islands, Denmark"
