Prefecture,boundaryId,lat,long,Cases,Recovered,Deaths,boundaryId
Total,,,,3708,134,0,
Ampara,1,7.29754,81.68202,3,0,0,1
Anuradhapura,2,8.31223,80.41306,12,0,0,2
Badulla,3,6.9895,81.0557,3,0,0,3
Batticaloa,4,7.7102,81.6924,1,0,0,4
Colombo,5,6.93194,79.84778,160,2,0,5
Galle,6,6.0367,80.217,1,0,0,6
Gampaha,7,7.08731,80.014366,370,1,0,7
Hambantota,8,6.1429,81.1212,3,0,0,8
Jaffna,9,9.66845,80.00742,16,0,0,9
Kalutara,10,6.5831,79.9593,65,0,0,10
Kandy,11,7.2955,80.6356,15,0,0,11
Kegalle,12,7.2513,80.3464,8,0,0,12
Kilinochchi,13,9.3961,80.3982,0,0,0,13
Kurunegala,14,7.4863,80.3623,27,0,1,14
Mannar,15,8.981,79.9044,0,0,0,15
Matale,16,7.4675,80.6234,1,0,0,16
Matara,17,5.94851,80.53528,2,0,0,17
Moneragala,18,6.8714,81.3487,4,0,0,18
Mullaitivu,19,9.2671,80.8142,0,0,0,19
Nuwara Eliya,20,6.97078,80.78286,1,0,0,20
Polonnaruwa,21,7.93965,81.00274,1,0,0,21
Puttalam,22,8.0362,79.8283,41,0,0,22
Ratnapura,23,6.68278,80.39917,8,0,0,23
Trincomalee,24,8.5711,81.2335,2,0,0,24
Vavuniya,25,8.7514,80.4971,2,0,0,25
Quarantine Centers,,,,78,0,0,
Kandakadu Rehabilitation Center,,,,521,0,0,
Senapura Rehabilitation Center,,,,76,0,0,
Naval Base - Welisara ,,,,906,0,0,
Overseas Arrivals (Quarantine Centers),,,,1377,0,0,
Unspecified,,,,4,131,0,
